Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week,Day,lag_1,lag_2,lag_4,rolling_mean_4
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,2010,4,17,30,1391256.12,1466058.28,1594968.28,1456958.41
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,2010,5,18,7,1425100.71,1391256.12,1545418.53,1471592.5574999999
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,2010,5,19,14,1603955.12,1425100.71,1466058.28,1478640.8625
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,2010,5,20,21,1494251.5,1603955.12,1391256.12,1480742.35
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,2010,5,21,28,1399662.07,1494251.5,1425100.71,1482484.6600000001
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,2010,6,22,4,1432069.95,1399662.07,1603955.12,1485377.0575
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,2010,6,23,11,1615524.71,1432069.95,1494251.5,1497454.455
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,2010,6,24,18,1542561.09,1615524.71,1399662.07,1523359.9525000001
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,2010,6,25,25,1503284.06,1542561.09,1432069.95,1521020.365
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,2010,7,26,2,1422711.6,1503284.06,1615524.71,1490243.7225
1,2010-07-09,1546074.18,0,80.48,2.642,211.108414,7.787,2010,7,27,9,1492418.14,1422711.6,1542561.09,1491121.995
1,2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,2010,7,28,16,1546074.18,1492418.14,1503284.06,1477535.71
1,2010-07-23,1385065.2,0,83.36,2.608,211.2351443,7.787,2010,7,29,23,1448938.92,1546074.18,1422711.6,1468124.1099999999
1,2010-07-30,1371986.6,0,81.84,2.64,211.3699032,7.787,2010,7,30,30,1385065.2,1448938.92,1492418.14,1438016.225
1,2010-08-06,1605491.78,0,87.16,2.627,211.5046621,7.787,2010,8,31,6,1371986.6,1385065.2,1546074.18,1452870.625
1,2010-08-13,1508237.76,0,87.0,2.692,211.6394211,7.787,2010,8,32,13,1605491.78,1371986.6,1448938.92,1467695.3350000002
1,2010-08-20,1513080.49,0,86.65,2.664,211.6033633,7.787,2010,8,33,20,1508237.76,1605491.78,1385065.2,1499699.1575000002
1,2010-08-27,1449142.92,0,85.22,2.619,211.5673056,7.787,2010,8,34,27,1513080.49,1508237.76,1371986.6,1518988.2374999998
1,2010-09-03,1540163.53,0,81.21,2.577,211.5312479,7.787,2010,9,35,3,1449142.92,1513080.49,1605491.78,1502656.175
1,2010-09-10,1507460.69,1,78.69,2.565,211.4951902,7.787,2010,9,36,10,1540163.53,1449142.92,1508237.76,1502461.9075
1,2010-09-17,1430378.67,0,82.11,2.582,211.5224596,7.787,2010,9,37,17,1507460.69,1540163.53,1513080.49,1481786.4525000001
1,2010-09-24,1351791.03,0,80.94,2.624,211.5972246,7.787,2010,9,38,24,1430378.67,1507460.69,1449142.92,1457448.48
